;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
304;36;8;2021;6;20;V;30;V;20;V;27;V;15;V;23;V;26;V;30;V;31;V;25;V;22;V;10;V;13;V;24;V;21;V;22;V;26;V;21;V;18;V;9;V;13;V;30;V;15;V;21;V;29;V;29;V;11;V;16;V;23;V;23;V;0;N
305;36;8;2021;7;29;V;35;V;17;V;10;V;19;V;19;V;22;V;17;V;26;V;25;V;18;V;13;V;11;V;15;V;21;V;32;V;18;V;13;V;20;V;34;V;34;V;34;V;34;V;15;V;12;V;20;V;23;V;27;V;21;V;22;V;10;V
306;36;8;2021;8;9;V;22;V;26;V;13;V;29;V;22;V;10;V;15;V;16;V;23;V;29;V;22;V;36;V;34;V;22;V;17;V;12;V;20;V;23;V;21;V;33;V;25;V;22;V;18;V;19;V;35;V;32;V;26;V;15;V;19;V;29;V
307;36;8;2021;9;21;V;27;V;37;V;29;V;32;V;34;V;36;V;18;V;27;V;17;V;29;V;31;V;43;V;25;V;27;V;47;V;35;V;27;V;24;V;18;V;11;V;17;V;17;V;32;V;22;V;27;V;62;V;42;V;37;V;39;V;0;N
308;36;8;2021;10;50;V;43;V;13;V;21;V;29;V;39;V;61;V;50;V;34;V;22;V;33;V;37;V;37;V;54;V;61;V;63;V;36;V;47;V;52;V;39;V;38;V;12;V;33;V;44;V;66;V;44;V;68;V;58;V;46;V;18;V;14;V
309;36;8;2021;11;18;V;24;V;21;V;38;V;19;V;18;V;53;V;42;V;53;V;56;V;82;V;56;V;47;V;32;V;19;V;44;V;29;V;45;V;40;V;35;V;43;V;40;V;35;V;41;V;49;V;60;V;25;V;17;V;28;V;69;V;0;N
310;36;8;2021;12;59;V;33;V;57;V;49;V;15;V;26;V;37;V;14;V;25;V;20;V;44;V;52;V;47;V;48;V;65;V;61;V;64;V;48;V;44;V;59;V;59;V;49;V;52;V;37;V;23;V;26;V;18;V;30;V;47;V;50;V;46;V
311;36;10;2021;1;5;V;6;V;7;V;8;V;17;V;11;V;7;V;5;V;5;V;6;V;12;V;16;V;21;V;27;V;30;V;33;V;21;V;18;V;11;V;12;V;4;V;5;V;5;V;8;V;6;V;7;V;14;V;9;V;12;V;6;V;8;V
312;36;10;2021;2;12;V;7;V;10;V;15;V;39;V;15;V;6;V;7;V;7;V;13;V;12;V;9;V;13;V;12;V;15;V;21;V;26;V;87;V;86;V;35;V;57;V;8;V;13;V;33;V;48;V;48;V;28;V;29;V;0;N;0;N;0;N
313;36;10;2021;3;42;V;59;V;105;V;93;N;70;V;44;V;23;V;20;V;13;V;19;V;22;V;13;V;14;V;12;V;15;V;14;V;10;V;15;V;10;V;9;V;12;V;18;V;24;V;24;V;29;V;42;V;33;V;28;V;30;V;36;V;34;V
